X,Y,field_1,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype,day,time,month-year,start-time,end-time
7.58467589928942,47.5472394897963,302,231276F3557602FCE0530A8394276954,610995.000055651,266290.000795041,2015,BS,Samstag / 04h-05h / Oktober 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Samstag , 04h-05h , Oktober 2015,400,05h 
7.58646248107988,47.5496205916352,304,2106EF3F47EC018CE0530A83942731D4,611128.998772129,266555.001650763,2015,BS,Donnerstag / 16h-17h / September 2015,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Donnerstag , 16h-17h , September 2015,1600,17h 
7.5863278310013,47.5489642118709,305,2341D6D356D601B8E0530A839427C14D,611118.999304235,266482.000963104,2015,BS,Mittwoch / 17h-18h / September 2015,Fussgängerunfall,Unfall mit Schwerverletzten,8,Nebenstrasse,Mittwoch , 17h-18h , September 2015,1700,18h 
7.58606165540845,47.5487846723397,306,1D0727847D02012AE0530A8394275299,611098.999430973,266462.000813651,2015,BS,Dienstag / 07h-08h / Juli 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Dienstag , 07h-08h , Juli 2015,700,08h 
7.58385797475726,47.5493270642578,307,171F92D2BEB501F6E0530A839427006E,610932.999197537,266522.000819552,2015,BS,Samstag / 13h-14h / April 2015,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Samstag , 13h-14h , April 2015,1300,14h 
7.58498631214541,47.5490288633031,308,0D26BF911D0B013CE0530A839427B282,611017.999102798,266489.001292671,2014,BS,Samstag / 05h-06h / Dezember 2014,Andere,Unfall mit Leichtverletzten,99,Hauptstrasse,Samstag , 05h-06h , Dezember 2014,500,06h 
7.58315779967243,47.5458473487934,309,0FBCE5EF70330022E0530A8394271336,610881.000272868,266135.000849277,2015,BS,Freitag / 17h-18h / Januar 2015,Abbiegeunfall,Unfall mit Schwerverletzten,3,Nebenstrasse,Freitag , 17h-18h , Januar 2015,1700,18h 
7.58471575015663,47.5472394398073,310,0585274BB17F01B8E0530A8394274B39,610998.000057473,266290.000789362,2014,BS,Montag / 21h-22h / September 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Montag , 21h-22h , September 2014,2100,22h 
7.5862355601976,47.5492251504757,311,04FA3EB64090007AE0530A8394275F71,611111.999073099,266511.001267783,2014,BS,Mittwoch / 13h-14h / August 2014,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Mittwoch , 13h-14h , August 2014,1300,14h 
7.58459622207278,47.5472485834689,312,0133AAE5C5530196E0530A8394270B0A,610989.000048171,266291.000806747,2014,BS,Dienstag / 06h-07h / Juli 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Dienstag , 06h-07h , Juli 2014,600,07h 
7.58596891427741,47.5488747282487,313,0133AAE5C5D30196E0530A8394270B0A,611091.99934428,266472.00093077,2014,BS,Samstag / 09h-10h / Juli 2014,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Samstag , 09h-10h , Juli 2014,900,10h 
7.58533764046416,47.5463482749865,314,FFF6FC3217A1015EE0430A8394272C9A,611045.000449365,266191.00067811,2014,BS,Donnerstag / 21h-22h / Mai 2014,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Donnerstag , 21h-22h , Mai 2014,2100,22h 
7.58453921963695,47.5507022540565,315,EA83EA23E1F5016AE0430A8394275A66,610983.998910787,266675.000382635,2013,BS,Samstag / 16h-17h / Oktober 2013,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Samstag , 16h-17h , Oktober 2013,1600,17h 
7.58656932551585,47.5498273142449,316,E4EC0BF7F76C0040E0430A8394275C12,611136.998618017,266578.001849254,2013,BS,Freitag / 14h-15h / August 2013,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Freitag , 14h-15h , August 2013,1400,15h 
7.5866895544834,47.5500699950503,317,E0C185365E5E01EEE0430A839427259D,611145.998440236,266605.002080003,2013,BS,Mittwoch / 17h-18h / Juni 2013,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Mittwoch , 17h-18h , Juni 2013,1700,18h 
